DATE,DOWNLOAD,ERROR
2020-01-22T16:25:02.296Z,47.34976,
2020-01-22T16:30:02.306Z,47.26784,
2020-01-22T16:35:02.336Z,47.18592,
2020-01-22T16:40:02.303Z,47.28832,
2020-01-22T16:45:02.334Z,47.26784,
2020-01-22T16:50:02.365Z,47.22688,
2020-01-22T16:55:02.364Z,47.32928,
2020-01-22T17:00:02.394Z,48.14848,
2020-01-22T17:05:02.398Z,47.28832,
2020-01-22T17:10:02.405Z,46.63296,
2020-01-22T17:15:02.442Z,47.34976,
2020-01-22T17:20:02.451Z,45.79328,
2020-01-22T17:25:02.443Z,47.65696,
2020-01-22T17:30:02.486Z,47.34976,
2020-01-22T17:35:02.473Z,47.37024,
2020-01-22T17:40:02.504Z,47.14496,
2020-01-22T17:45:02.514Z,47.43168,
2020-01-22T17:50:02.532Z,47.18592,
2020-01-22T17:55:02.535Z,47.53408,
2020-01-22T18:00:02.542Z,47.37024,
2020-01-22T18:05:02.589Z,48.00512,
2020-01-22T18:10:02.582Z,47.28832,
2020-01-22T18:15:02.598Z,47.39072,
2020-01-22T18:20:02.626Z,46.20288,
2020-01-22T18:25:02.640Z,47.26784,
2020-01-22T18:30:02.654Z,47.28832,
2020-01-22T18:35:02.667Z,46.87872,
2020-01-22T18:40:02.675Z,47.45216,
2020-01-22T18:45:02.703Z,47.43168,
2020-01-22T18:50:02.706Z,-1,
2020-01-22T18:55:02.739Z,-1,
2020-01-22T19:00:02.733Z,-1,
2020-01-22T19:05:02.748Z,-1,
2020-01-22T19:10:02.767Z,-1,
2020-01-22T19:15:02.838Z,-1,
2020-01-22T19:20:02.802Z,-1,
2020-01-22T19:25:02.812Z,-1,
2020-01-22T19:30:02.817Z,47.39072,
2020-01-22T19:35:02.863Z,48.10752,
2020-01-22T19:40:02.853Z,47.3088,
2020-01-22T19:45:02.859Z,47.63648,
2020-01-22T19:50:02.881Z,47.43168,
2020-01-22T19:55:02.900Z,47.34976,
2020-01-22T20:00:02.914Z,47.39072,
2020-01-22T20:05:02.934Z,47.3088,
2020-01-22T20:10:02.924Z,47.34976,
2020-01-22T20:15:02.942Z,47.43168,
2020-01-22T20:20:02.961Z,47.53408,
2020-01-22T20:25:02.980Z,47.28832,
2020-01-22T20:30:03.011Z,47.26784,
2020-01-22T20:35:03.013Z,47.3088,
2020-01-22T20:40:03.012Z,47.3088,
2020-01-22T20:45:03.055Z,47.28832,
2020-01-22T20:50:03.046Z,47.37024,
2020-01-22T20:55:03.077Z,47.2064,
2020-01-22T21:00:03.088Z,47.34976,
2020-01-22T21:05:03.150Z,47.32928,
2020-01-22T21:10:03.120Z,47.43168,
2020-01-22T21:15:03.148Z,47.34976,
2020-01-22T21:20:03.153Z,46.96064,
2020-01-22T21:25:03.171Z,49.13152,
2020-01-22T21:30:03.201Z,47.45216,
2020-01-22T21:35:03.204Z,47.34976,
2020-01-22T21:40:03.215Z,47.28832,
2020-01-22T21:45:03.228Z,46.94016,
2020-01-22T21:50:03.244Z,46.75584,
2020-01-22T21:55:03.233Z,38.66624,
2020-01-22T22:00:03.243Z,43.4176,
2020-01-22T22:05:02.284Z,39.50592,
2020-01-22T22:10:02.284Z,40.96,
2020-01-22T22:15:02.334Z,-1,
2020-01-22T22:20:02.314Z,47.26784,
2020-01-22T22:25:02.347Z,47.26784,
2020-01-22T22:30:02.371Z,46.55104,
2020-01-22T22:35:02.398Z,47.34976,
2020-01-22T22:40:02.367Z,47.34976,
2020-01-22T22:45:02.384Z,47.28832,
2020-01-22T22:50:02.426Z,47.34976,
2020-01-22T22:55:02.420Z,47.28832,
2020-01-22T23:00:02.432Z,47.104,
2020-01-22T23:05:02.436Z,47.34976,
2020-01-22T23:10:02.454Z,47.26784,
2020-01-22T23:15:02.483Z,47.26784,
2020-01-22T23:20:02.501Z,47.37024,
2020-01-22T23:25:02.524Z,47.18592,
2020-01-22T23:30:02.550Z,47.104,
2020-01-22T23:35:02.543Z,47.43168,
2020-01-22T23:40:02.558Z,47.34976,
2020-01-22T23:45:02.588Z,47.104,
2020-01-22T23:50:02.596Z,42.84416,
2020-01-22T23:55:02.600Z,47.34976,
2020-01-23T00:00:02.616Z,47.43168,
2020-01-23T00:05:02.650Z,47.43168,
2020-01-23T00:10:02.671Z,44.2368,
2020-01-23T00:15:02.658Z,47.18592,
2020-01-23T00:20:02.725Z,47.28832,
2020-01-23T00:25:02.706Z,47.26784,
2020-01-23T00:30:02.709Z,47.26784,
2020-01-23T00:35:02.725Z,45.95712,
2020-01-23T00:40:02.739Z,47.43168,
2020-01-23T00:45:02.737Z,47.18592,
2020-01-23T00:50:02.760Z,47.34976,
2020-01-23T00:55:02.782Z,47.26784,
2020-01-23T01:00:02.802Z,47.02208,
2020-01-23T01:05:02.818Z,47.18592,
2020-01-23T01:10:02.836Z,47.34976,
2020-01-23T01:15:02.843Z,47.26784,
2020-01-23T01:20:02.878Z,47.43168,
2020-01-23T01:25:02.867Z,47.32928,
2020-01-23T01:30:02.894Z,46.55104,
2020-01-23T01:35:02.910Z,47.43168,
2020-01-23T01:40:02.930Z,47.34976,
2020-01-23T01:45:02.955Z,47.45216,
2020-01-23T01:50:02.948Z,47.26784,
2020-01-23T01:55:02.960Z,47.18592,
2020-01-23T02:00:02.974Z,47.34976,
2020-01-23T02:05:03.006Z,46.55104,
2020-01-23T02:10:02.996Z,47.24736,
2020-01-23T02:15:03.044Z,47.43168,
2020-01-23T02:20:03.048Z,47.34976,
2020-01-23T02:25:03.068Z,47.34976,
2020-01-23T02:30:03.098Z,47.43168,
2020-01-23T02:35:03.092Z,47.37024,
2020-01-23T02:40:03.115Z,47.28832,
2020-01-23T02:45:03.117Z,47.28832,
2020-01-23T02:50:03.126Z,48.31232,
2020-01-23T02:55:03.161Z,47.37024,
2020-01-23T03:00:03.170Z,47.28832,
2020-01-23T03:05:03.199Z,47.12448,
2020-01-23T03:10:03.188Z,47.2064,
2020-01-23T03:15:03.187Z,47.3088,
2020-01-23T03:20:03.211Z,47.26784,
2020-01-23T03:25:03.223Z,33.09568,
2020-01-23T03:30:03.262Z,47.43168,
2020-01-23T03:35:03.271Z,47.34976,
2020-01-23T03:40:03.273Z,47.34976,
2020-01-23T03:45:02.294Z,47.84128,
2020-01-23T03:50:02.302Z,47.43168,
2020-01-23T03:55:02.307Z,47.18592,
2020-01-23T04:00:02.348Z,47.34976,
2020-01-23T04:05:02.347Z,47.45216,
2020-01-23T04:10:02.370Z,47.32928,
